,기상번호,시도코드,일시,평균기온(°C),최저기온(°C),최고기온(°C),평균 풍속(m/s),최다풍향(16방위),평균 현지기압(hPa),SO2,CO,O3,NO2,PM10,PM25
15414,4720160311,47,20160311,0.3857142857142857,-4.264285714285714,5.878571428571428,2.4642857142857144,273.57142857142856,1008.5714285714287,0.0042913579999999995,0.46320987700000005,0.034377778,0.013679753000000001,34.36299766,17.74418605
15415,4720160312,47,20160312,1.9928571428571429,-5.2214285714285715,8.557142857142859,1.8785714285714283,235.7142857142857,1009.5785714285713,0.005336765,0.546813725,0.034651961,0.017385294,56.66589327,32.375
15416,4720160313,47,20160313,3.8857142857142857,-0.3214285714285715,8.814285714285715,1.3785714285714283,274.2857142857143,1008.164285714286,0.00549902,0.618137255,0.037257353,0.018637255,82.56018519,66.33333333
15417,4720160314,47,20160314,3.3642857142857143,-2.2357142857142858,10.10714285714286,2.357142857142857,191.42857142857144,1006.1,0.004412312,0.648994975,0.035604061,0.019846482,76.91646778,60.6097561
15418,4720160315,47,20160315,5.7285714285714295,-3.2571428571428567,13.835714285714285,1.8714285714285717,241.42857142857144,1007.407142857143,0.004497449000000001,0.603826531,0.030530612000000002,0.022407142999999997,58.295238100000006,34.87234043
15419,4720160316,47,20160316,9.592857142857145,3.1499999999999995,17.742857142857144,2.264285714285714,278.57142857142856,1005.5571428571428,0.005384119000000001,0.607444169,0.035124069,0.025382134,60.34722222,43.83333333
15420,4720160317,47,20160317,10.971428571428573,0.7928571428571425,19.778571428571436,1.8571428571428568,208.57142857142856,1004.5142857142856,0.005736432,0.588944724,0.037397985,0.027253148999999997,57.00236967,37.61702128
15421,4720160318,47,20160318,10.257142857142854,7.728571428571428,13.314285714285711,1.385714285714286,188.57142857142856,997.7214285714286,0.00405098,0.643137255,0.020285011999999998,0.027645097999999996,40.61072261,36.38636364
15422,4720160319,47,20160319,9.871428571428572,4.871428571428573,16.11428571428571,2.4571428571428564,90.71428571428572,999.9714285714286,0.003618137,0.579506173,0.034764706,0.016716176,56.43981481,42.93333333
15423,4720160320,47,20160320,6.9,2.6642857142857137,11.2,1.9642857142857144,150.0,1007.3142857142856,0.0031975370000000003,0.528186275,0.034936275,0.011976225,40.58333333,29.64583333
15424,4720160321,47,20160321,7.678571428571429,0.7357142857142855,15.2,1.792857142857143,235.7142857142857,1007.9857142857144,0.0036756959999999996,0.50278481,0.031617722,0.015783291,31.56796117,22.02380952
15425,4720160322,47,20160322,10.557142857142855,1.9357142857142855,18.771428571428565,2.8142857142857154,221.42857142857144,1002.5,0.00431995,0.557605985,0.044354523,0.017280798,50.08088235,33.80851064
15426,4720160323,47,20160323,7.978571428571428,4.378571428571428,12.87142857142857,2.814285714285714,185.0,1004.0785714285713,0.004522081,0.49120603,0.044817536,0.011978141000000001,39.07159905,31.37209302
15427,4720160324,47,20160324,5.9,1.085714285714286,10.907142857142858,2.6214285714285706,87.85714285714286,1009.3,0.0036796990000000003,0.422794118,0.039789352,0.009858824,18.76484561,16.54347826
15428,4720160325,47,20160325,5.192857142857143,1.95,9.464285714285717,1.5428571428571427,160.71428571428572,1009.4,0.0037435640000000004,0.422469136,0.032337995,0.0135,23.91058824,19.4893617
15429,4720160326,47,20160326,5.864285714285715,0.9,12.507142857142856,1.6928571428571428,230.0,1005.8714285714284,0.0035322659999999996,0.469117647,0.032983796,0.014610784,37.68764569,34.77272727
15430,4720160327,47,20160327,7.292857142857143,-0.06428571428571424,14.771428571428569,2.3285714285714283,270.0,1003.7214285714284,0.004445679,0.523529412,0.045148148,0.012800735,49.43387471,34.84782609
15431,4720160328,47,20160328,9.421428571428573,1.0357142857142858,17.864285714285714,2.1000000000000005,245.7142857142857,1005.5714285714287,0.005376041999999999,0.5830729170000001,0.05070098,0.018932292,57.32019704,42.02083333
15432,4720160329,47,20160329,11.978571428571426,3.5571428571428565,19.03571428571428,2.628571428571428,222.14285714285717,1003.6428571428572,0.0054936709999999995,0.577974684,0.04937799,0.01952962,62.26746988,45.41666667
15433,4720160330,47,20160330,13.242857142857144,6.428571428571429,20.7,2.3357142857142863,253.57142857142856,1003.8642857142861,0.0054367090000000005,0.549113924,0.049235294000000006,0.019144051000000002,64.04422604,46.08333333
15434,4720160331,47,20160331,11.542857142857144,3.4500000000000006,20.12142857142857,1.557142857142857,197.14285714285717,1001.7642857142856,0.0054192,0.589066667,0.038589147000000004,0.024117067000000002,64.99452055,36.125
15435,4720160401,47,20160401,12.15,2.4857142857142853,21.957142857142852,1.971428571428572,195.7142857142857,1001.2928571428572,0.006524474000000001,0.635526316,0.045121287,0.022458065,69.20512821,35.54166667
15436,4720160402,47,20160402,13.857142857142858,4.571428571428571,22.357142857142858,1.9428571428571428,224.28571428571428,1003.4642857142856,0.005234975,0.644607843,0.050206019000000005,0.020884375,70.7337963,37.63829787
15437,4720160403,47,20160403,10.985714285714288,7.935714285714287,16.250000000000004,2.1357142857142857,193.57142857142856,1003.0785714285713,0.004127206,0.613235294,0.045037037,0.016142187,44.96933962,35.25581395
15438,4720160404,47,20160404,9.721428571428572,7.057142857142857,12.878571428571426,1.7214285714285718,136.42857142857142,999.4571428571428,0.003178515,0.479274611,0.036484262,0.014013425,15.90374332,11.06521739
15439,4720160405,47,20160405,12.478571428571426,5.15,20.242857142857144,2.45,271.42857142857144,1000.4071428571428,0.00348743,0.504189944,0.029329842999999998,0.018034131999999998,31.18346253,18.12765957
15440,4720160406,47,20160406,13.035714285714285,5.442857142857144,21.107142857142858,1.9285714285714288,159.28571428571428,1002.0071428571428,0.005100543,0.59673913,0.042803069000000006,0.022150857000000003,63.82097187,40.125
15441,4720160407,47,20160407,12.078571428571427,8.542857142857143,17.199999999999996,2.1642857142857146,217.85714285714286,993.8285714285713,0.003193956,0.508244681,0.04342394,0.017459322,20.65096953,17.78571429
