,기상번호,시도코드,일시,평균기온(°C),최저기온(°C),최고기온(°C),평균 풍속(m/s),최다풍향(16방위),평균 현지기압(hPa),일 최심신적설(cm),일강수량(mm),강수 계속시간(hr)
207,1120160726,11,20160726,28.4,25.6,31.9,2.6,230.0,997.6,0.0,0.0,0.0
208,1120160727,11,20160727,27.6,26.7,28.9,3.2,200.0,994.6,0.0,0.5,2.17
209,1120160728,11,20160728,28.0,26.7,30.5,2.8,230.0,996.1,0.0,0.2,1.22
210,1120160729,11,20160729,26.3,23.4,28.4,1.6,50.0,999.0,0.0,59.5,8.63
211,1120160730,11,20160730,28.6,26.4,33.0,2.1,200.0,1001.1,0.0,0.5,3.75
212,1120160731,11,20160731,28.9,26.6,32.8,1.6,270.0,1001.5,0.0,0.2,1.25
213,1120160801,11,20160801,28.4,25.8,32.4,1.6,20.0,1000.4,0.0,0.0,0.0
214,1120160802,11,20160802,27.2,25.0,31.1,1.2,270.0,999.3,0.0,2.0,1.5
215,1120160803,11,20160803,29.1,24.0,34.2,1.6,50.0,999.1,0.0,0.0,0.0
216,1120160804,11,20160804,30.7,26.0,35.7,1.6,50.0,999.6,0.0,0.0,0.0
217,1120160805,11,20160805,31.2,26.5,36.0,1.8,50.0,999.6,0.0,0.0,0.0
218,1120160806,11,20160806,30.5,26.6,34.0,1.7,270.0,998.1,0.0,0.0,0.0
219,1120160807,11,20160807,30.6,27.0,35.0,1.9,270.0,997.3,0.0,0.0,0.0
220,1120160808,11,20160808,30.5,26.4,35.5,1.8,320.0,997.5,0.0,0.0,0.0
221,1120160809,11,20160809,29.3,26.4,33.6,1.9,70.0,998.4,0.0,1.0,2.02
222,1120160810,11,20160810,29.4,26.1,34.8,1.9,270.0,999.9,0.0,0.0,0.0
223,1120160811,11,20160811,30.5,26.1,36.4,2.0,270.0,999.9,0.0,0.0,0.0
224,1120160812,11,20160812,30.4,26.4,35.9,2.0,270.0,997.8,0.0,0.0,0.0
225,1120160813,11,20160813,30.2,26.8,35.1,2.4,270.0,996.2,0.0,0.0,0.0
226,1120160814,11,20160814,28.9,27.3,31.8,1.9,290.0,994.8,0.0,0.2,0.33
227,1120160815,11,20160815,29.1,25.8,34.0,1.9,270.0,992.1,0.0,0.0,0.67
228,1120160816,11,20160816,29.3,26.2,34.9,1.6,290.0,991.6,0.0,0.5,0.92
229,1120160817,11,20160817,29.9,25.1,34.7,1.9,290.0,993.6,0.0,0.0,0.0
230,1120160818,11,20160818,29.9,26.2,34.3,1.6,50.0,995.6,0.0,0.0,0.0
231,1120160819,11,20160819,28.9,26.6,33.2,1.4,50.0,996.6,0.0,11.5,1.42
232,1120160820,11,20160820,30.1,26.5,34.9,1.7,70.0,996.4,0.0,0.0,0.0
233,1120160821,11,20160821,30.7,26.9,36.6,2.1,50.0,996.3,0.0,0.0,0.67
234,1120160822,11,20160822,30.7,25.8,36.3,2.1,50.0,996.1,0.0,0.4,0.33
235,1120160823,11,20160823,28.3,26.0,33.0,2.1,50.0,996.4,0.0,8.0,2.67
236,1120160824,11,20160824,29.1,26.4,32.9,1.8,290.0,996.9,0.0,0.0,0.58
237,1120160825,11,20160825,27.1,24.0,32.2,1.9,270.0,995.4,0.0,4.5,3.18
238,1120160826,11,20160826,23.0,19.5,28.2,3.6,70.0,999.1,0.0,20.0,6.08
239,1120160827,11,20160827,23.4,16.9,29.7,3.1,70.0,999.5,0.0,0.0,1.25
240,1120160828,11,20160828,21.0,18.3,24.5,2.6,20.0,995.8,0.0,1.5,7.07
241,1120160829,11,20160829,22.2,17.4,27.1,2.0,290.0,992.1,0.0,0.0,0.0
242,1120160830,11,20160830,20.6,17.9,24.5,3.3,270.0,982.4,0.0,0.0,1.33
243,1120160831,11,20160831,17.7,16.1,19.2,3.8,250.0,981.0,0.0,17.5,16.92
244,1120160901,11,20160901,23.2,15.8,28.6,3.1,200.0,990.5,0.0,0.0,0.0
245,1120160902,11,20160902,24.2,20.6,29.0,2.7,70.0,996.8,0.0,4.5,1.5
246,1120160903,11,20160903,23.9,20.4,28.6,1.8,50.0,998.8,0.0,0.5,2.67
247,1120160904,11,20160904,25.6,22.1,29.6,1.5,50.0,1001.0,0.0,0.0,0.0
248,1120160905,11,20160905,26.4,23.0,31.1,1.7,270.0,999.7,0.0,0.0,0.0
249,1120160906,11,20160906,24.7,21.0,29.0,1.8,270.0,999.0,0.0,0.0,0.0
250,1120160907,11,20160907,24.3,20.9,28.6,1.8,270.0,996.3,0.0,0.0,0.0
251,1120160908,11,20160908,23.0,21.5,26.5,1.3,270.0,996.9,0.0,4.5,2.85
252,1120160909,11,20160909,23.9,19.7,29.3,1.8,20.0,999.8,0.0,0.0,0.0
253,1120160910,11,20160910,24.4,20.0,29.1,1.6,20.0,1002.2,0.0,0.0,0.0
254,1120160911,11,20160911,24.5,22.1,28.2,1.7,70.0,1004.6,0.0,0.0,0.0
255,1120160912,11,20160912,23.4,21.4,27.5,1.9,50.0,1006.4,0.0,2.5,0.78
256,1120160913,11,20160913,24.6,19.6,30.8,1.8,70.0,1007.8,0.0,0.0,0.0
257,1120160914,11,20160914,24.6,21.4,28.9,1.8,200.0,1007.4,0.0,0.0,0.0
258,1120160915,11,20160915,23.9,18.8,29.5,1.3,270.0,1006.4,0.0,0.0,0.0
259,1120160916,11,20160916,24.6,20.4,29.5,1.5,290.0,1004.6,0.0,0.0,0.0
260,1120160917,11,20160917,23.1,18.5,28.2,2.9,70.0,1001.5,0.0,7.0,7.5
261,1120160918,11,20160918,23.5,20.2,28.3,3.1,70.0,1001.7,0.0,0.0,0.0
262,1120160919,11,20160919,21.9,18.2,27.8,3.5,50.0,1003.1,0.0,0.0,0.0
263,1120160920,11,20160920,20.6,15.4,26.8,3.1,50.0,1007.0,0.0,0.0,0.0
264,1120160921,11,20160921,20.2,14.3,25.3,2.0,70.0,1011.0,0.0,0.0,0.0
265,1120160922,11,20160922,21.9,17.5,27.2,1.8,70.0,1008.2,0.0,0.0,0.0
266,1120160923,11,20160923,21.4,16.4,27.9,1.6,50.0,1007.0,0.0,0.0,0.0
